unique_id,vendor_id,alias,label,tooltip,description,pricing_description,pricing,active,priority,opacity,rgb,metadata,clipart_image_url,production_image_url,define_color,rgb_swatch_color,define_swatch,swatch_key,facet_Application Type,facet_Arc Match,facet_Article Number Filter,facet_Color,facet_Color Group,facet_Component,facet_Configurator Family,facet_Graphic 1 White Bolean,facet_Graphic Color Count,facet_Graphic Placement,facet_Image View Name,facet_P13N Location,facet_P13N Size,price_USD
av251603,lucid_lime,Color - Lucid Lime - Court Mode,Lucid Lime,Lucid Lime,,,,TRUE,150,1,#91c85a,,,,TRUE,#91c85a,RGB,,Embroidery;Sublimation,Color,,Lucid Lime,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251604,team_light_blue,Color - Team Light Blue - Court Mode,Team Light Blue,Team Light Blue,,,,TRUE,160,1,#7a99bd,,,,TRUE,#7a99bd,RGB,,Embroidery;Sublimation,Color,,Team Light Blue,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251605,team_royal_blue,Color - Team Royal Blue - Court Mode,Team Royal Blue,Team Royal Blue,,,,TRUE,170,1,#2e3e7c,,,,TRUE,#2e3e7c,RGB,,Embroidery;Sublimation,Color,,Team Royal Blue,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251606,team_navy_blue_2,Color - Team Navy Blue 2 - Court Mode,Team Navy Blue 2,Team Navy Blue 2,,,,TRUE,180,1,#253149,,,,TRUE,#253149,RGB,,Embroidery;Sublimation,Color,,Team Navy Blue 2,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251607,frozen_blue,Color - Frozen Blue - Court Mode,Frozen Blue,Frozen Blue,,,,TRUE,190,1,#afd3e5,,,,TRUE,#afd3e5,RGB,,Embroidery;Sublimation,Color,,Frozen Blue,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251608,team_sand,Color - Team Sand - Court Mode,Team Sand,Team Sand,,,,TRUE,200,1,#b8ac82,,,,TRUE,#b8ac82,RGB,,Embroidery;Sublimation,Color,,Team Sand,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251609,oat,Color - Oat - Court Mode,Oat,Oat,,,,TRUE,210,1,#c7ae72,,,,TRUE,#c7ae72,RGB,,Embroidery;Sublimation,Color,,Oat,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251610,team_onix,Color - Team Onix - Court Mode,Team Onix,Team Onix,,,,TRUE,220,1,#585b66,,,,TRUE,#585b66,RGB,,Embroidery;Sublimation,Color,,Team Onix,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251611,lgh_solid_grey,Color - LGH Solid Grey - Court Mode,LGH Solid Grey,LGH Solid Grey,,,,TRUE,230,1,#b7b8bd,,,,TRUE,#b7b8bd,RGB,,Embroidery,Color,,LGH Solid Grey,FabricSubl;Logo,Color,Court Mode,,,,,,,
av251612,team_coffee_2,Color - Team Coffee 2 - Court Mode,Team Coffee 2,Team Coffee 2,,,,TRUE,240,1,#383526,,,,TRUE,#383526,RGB,,Embroidery;Sublimation,Color,,Team Coffee 2,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251613,team_shock_pink_2,Color - Team Shock Pink 2 - Court Mode,Team Shock Pink 2,Team Shock Pink 2,,,,TRUE,250,1,#ca2180,,,,TRUE,#ca2180,RGB,,Embroidery;Sublimation,Color,,Team Shock Pink 2,FabricSubl;Logo;Sublimation,Color,Court Mode,,,,,,,
av251614,team_real_magenta,Color - Team Real Magenta - Court Mode,Team Real Magenta,Team Real Magenta,,,,TRUE,260,1,#a92c6a,,,,TRUE,#a92c6a,RGB,,Embroidery,Color,,Team Real Magenta,FabricSubl;Logo,Color,Court Mode,,,,,,,
av251615,team_light_grey,Color - Team Light Grey - Court Mode,Team Light Grey,Team Light Grey,,,,TRUE,280,1,#b8b9be,,,,TRUE,#b8b9be,RGB,,Sublimation,Color,,Team Light Grey,Sublimation,Color,Court Mode,,,,,,,
av251616,team_orange,Color - Team Orange - Court Mode,Team Orange,Team Orange,,,,TRUE,290,1,#c3552c,,,,TRUE,#c3552c,RGB,,Sublimation,Color,,Team Orange,Sublimation,Color,Court Mode,,,,,,,
av251617,team_dark_green,Color - Team Dark Green - Court Mode,Team Dark Green,Team Dark Green,,,,TRUE,300,1,#29493e,,,,TRUE,#29493e,RGB,,Sublimation,Color,,Team Dark Green,Sublimation,Color,Court Mode,,,,,,,
av251618,team_mid_grey,Color - Team Mid Grey - Court Mode,Team Mid Grey,Team Mid Grey,,,,TRUE,310,1,#949392,,,,TRUE,#949392,RGB,,Sublimation,Color,,Team Mid Grey,Sublimation,Color,Court Mode,,,,,,,
av251619,team_collegiate_gold,Color - Team Collegiate Gold - Court Mode,Team Collegiate Gold,Team Collegiate Gold,,,,TRUE,320,1,#e9a321,,,,TRUE,#e9a321,RGB,,Sublimation;Heat Transfer,Color,,Team Collegiate Gold,Sublimation,Color,Court Mode,,,,,,,
,collegiate_burgundy,Color - Collegiate Burgundy - Court Mode,Collegiate Burgundy,Collegiate Burgundy,,,,TRUE,330,1,#5b2531,,,,TRUE,#5b2531,RGB,,Sublimation,Color,,Collegiate Burgundy,Sublimation,Color,Court Mode,,,,,,,
,collegiate_purple,Color - Collegiate Purple - Court Mode,Collegiate Purple,Collegiate Purple,,,,TRUE,340,1,#362c5d,,,,TRUE,#362c5d,RGB,,Sublimation,Color,,Collegiate Purple,Sublimation,Color,Court Mode,,,,,,,
,team_coffee,Color - Team Coffee - Court Mode,Team Coffee,Team Coffee,,,,TRUE,350,1,#40220f,,,,TRUE,#40220f,RGB,,Sublimation,Color,,Team Coffee,Sublimation,Color,Court Mode,,,,,,,
,team_collegiate_gold,Color - Team Collegiate Gold - Court Mode,Team Collegiate Gold,Team Collegiate Gold,,,,TRUE,360,1,#e8a200,,,,TRUE,#e8a200,RGB,,Sublimation,Color,,Team Collegiate Gold,Sublimation,Color,Court Mode,,,,,,,
,team_dark_grey,Color - Team Dark Grey - Court Mode,Team Dark Grey,Team Dark Grey,,,,TRUE,370,1,#4a4b4d,,,,TRUE,#4a4b4d,RGB,,Sublimation,Color,,Team Dark Grey,Sublimation,Color,Court Mode,,,,,,,
,team_maroon,Color - Team Maroon - Court Mode,Team Maroon,Team Maroon,,,,TRUE,380,1,#432732,,,,TRUE,#432732,RGB,,Sublimation,Color,,Team Maroon,Sublimation,Color,Court Mode,,,,,,,
,team_power_red,Color - Team Power Red - Court Mode,Team Power Red,Team Power Red,,,,TRUE,390,1,#a6192e,,,,TRUE,#a6192e,RGB,,Sublimation,Color,,Team Power Red,Sublimation,Color,Court Mode,,,,,,,
,team_navy_blue,Color - Team Navy Blue - Court Mode,Team Navy Blue,Team Navy Blue,,,,TRUE,400,1,#253149,,,,TRUE,#253149,RGB,,Sublimation,Color,,Team Navy Blue,Sublimation,Color,Court Mode,,,,,,,
